crop_type,growth_stage,season,water_req_mm_day,kc_coefficient,days_in_stage,sensitive_to_water
Groundnut,Fruiting,Kharif,10.19522308,0.415676834,12,1
Groundnut,Fruiting,Rabi,5.201648659,0.967022164,20,1
Groundnut,Fruiting,Zaid,5.052976894,0.845901932,30,0
Groundnut,Maturity,Kharif,8.854025317,0.738843166,42,1
Groundnut,Maturity,Rabi,11.58934321,0.301221224,11,0
Groundnut,Maturity,Zaid,11.38776201,0.367488308,18,1
Tomato,Seedling,Kharif,6.682565141,0.344828149,35,1
Tomato,Seedling,Rabi,9.222239354,0.693579306,31,0
Tomato,Seedling,Zaid,10.96158231,0.349125024,29,1
Tomato,Vegetative,Kharif,7.03434648,0.332620189,25,1
Tomato,Vegetative,Rabi,8.461371576,1.249111817,17,1
Tomato,Vegetative,Zaid,6.013336315,0.697760576,37,1
Tomato,Flowering,Kharif,7.227385691,1.17732578,25,0
Tomato,Flowering,Rabi,2.751682403,0.37539722,26,1
Tomato,Flowering,Zaid,10.42256839,0.498479074,17,0
Tomato,Fruiting,Kharif,3.075116346,0.385970373,21,1
Tomato,Fruiting,Rabi,2.079950365,1.0737681,18,1
Tomato,Fruiting,Zaid,3.985857208,0.422773794,36,1
Tomato,Maturity,Kharif,8.66642522,0.63918235,28,0
Tomato,Maturity,Rabi,11.30935164,0.349020712,12,1
Tomato,Maturity,Zaid,3.560799867,0.837202878,40,1
Potato,Seedling,Kharif,11.34372919,0.406936244,14,1
Potato,Seedling,Rabi,10.58118896,0.406759047,38,1
Potato,Seedling,Zaid,7.348612285,0.757475006,15,0
Potato,Vegetative,Kharif,5.631615412,1.1204222,12,0
Potato,Vegetative,Rabi,3.917916739,0.902552564,21,0
Potato,Vegetative,Zaid,3.554830735,0.933988838,18,1
Potato,Flowering,Kharif,5.184520436,0.987301197,27,1
Potato,Flowering,Rabi,7.373873698,0.304614385,17,1
Potato,Flowering,Zaid,8.069521241,1.084717466,23,1
Potato,Fruiting,Kharif,4.939241472,0.33248257,35,0
Potato,Fruiting,Rabi,9.333703789,0.618209949,27,1
Potato,Fruiting,Zaid,3.654662428,0.849371367,39,1
Potato,Maturity,Kharif,10.30735134,0.71241772,38,1
Potato,Maturity,Rabi,4.369775617,0.751438861,31,1
Potato,Maturity,Zaid,9.76423798,0.781898175,18,0
Onion,Seedling,Kharif,4.057614122,0.942592691,11,1
Onion,Seedling,Rabi,3.609539496,0.852910172,16,1
Onion,Seedling,Zaid,6.491247269,0.92355248,39,1
Onion,Vegetative,Kharif,7.399419098,0.666871951,19,1
Onion,Vegetative,Rabi,10.04100451,0.308644527,18,1
Onion,Vegetative,Zaid,5.65246158,0.711645159,10,1
Onion,Flowering,Kharif,8.597833601,0.40777322,15,0
Onion,Flowering,Rabi,6.713295406,0.759510567,21,1
Onion,Flowering,Zaid,10.10491126,0.420257713,32,0
Onion,Fruiting,Kharif,10.57586141,0.646197387,26,1
Onion,Fruiting,Rabi,2.689415925,1.217634271,25,1
Onion,Fruiting,Zaid,3.058335528,0.325348434,22,1
Onion,Maturity,Kharif,11.87610357,0.42172635,35,1
Onion,Maturity,Rabi,4.430499613,0.854110305,30,1
Onion,Maturity,Zaid,2.386264153,0.919872472,10,1
